Angle,Strain,Stress
50,1.232144,34.2575
50,1.237361,34.27917
50,1.237361,34.30487
50,1.237361,34.32561
50,1.242554,34.35537
50,1.242554,34.36932
50,1.242554,34.39319
50,1.242554,34.41155
50,1.242554,34.44423
50,1.242554,34.48261
50,1.247484,34.50373
50,1.247484,34.52246
50,1.247484,34.54633
50,1.252104,34.57663
50,1.252104,34.60104
50,1.252104,34.62455
50,1.252104,34.65099
50,1.256668,34.67963
50,1.256668,34.69561
50,1.256668,34.71672
50,1.256668,34.74867
50,1.256668,34.76667
50,1.256668,34.79384
50,1.260945,34.81147
50,1.260945,34.83442
50,1.260945,34.86545
50,1.260945,34.87996
50,1.265493,34.90952
50,1.265493,34.92935
50,1.265493,34.9534
50,1.270383,34.98297
50,1.270383,35.00353
50,1.270383,35.02593
50,1.270383,35.04558
