Fill,Strain,Stress
60,0.2562814,1.806761
60,0.2562814,1.80741
60,0.257524,1.79855
60,0.257524,1.81346
60,0.257524,1.829451
60,0.257524,1.827506
60,0.2587512,1.833989
60,0.2587512,1.842633
60,0.2587512,1.843497
60,0.2600559,1.844145
60,0.2600559,1.83723
60,0.2600559,1.828803
60,0.2600559,1.833773
60,0.2600559,1.847171
60,0.2600559,1.847387
60,0.2610035,1.851061
60,0.2610035,1.851061
60,0.2610035,1.859704
60,0.2610035,1.85992
60,0.2617723,1.852357
60,0.2617723,1.851061
60,0.2617723,1.859704
60,0.2628829,1.861001
60,0.2628829,1.857975
60,0.2628829,1.85495
60,0.2628829,1.860353
60,0.2628829,1.870293
60,0.2628829,1.878072
60,0.2640013,1.876559
60,0.2640013,1.875263
60,0.2640013,1.877208
60,0.2640013,1.882178
60,0.2651586,1.887364
60,0.2651586,1.884987
60,0.2651586,1.888877
60,0.2662381,1.898169
60,0.2662381,1.897953
60,0.2662381,1.898385
60,0.2662381,1.903355
60,0.2662381,1.900114
60,0.2662381,1.90033
60,0.2668983,1.896872
60,0.2668983,1.908974
60,0.2668983,1.911567
60,0.2668983,1.895576
60,0.2677759,1.906597
60,0.2677759,1.908541
60,0.2677759,1.922372
60,0.2695933,1.929719
60,0.2695933,1.921075
60,0.2695933,1.916969
60,0.2695933,1.921723
60,0.2695933,1.926261
60,0.2695933,1.924532
60,0.2717058,1.924532
60,0.2717058,1.921075
60,0.2717058,1.93296
60,0.2717058,1.944413
60,0.2733135,1.941388
60,0.2733135,1.935769
60,0.2742066,1.937282
60,0.2742066,1.94679
60,0.2742066,1.945926
60,0.2742066,1.952841
60,0.2742066,1.962997
60,0.2742066,1.958891
60,0.2742066,1.962133
60,0.2747969,1.967319
60,0.2747969,1.975531
60,0.2747969,1.972289
60,0.2747969,1.969912
60,0.2755347,1.960404
60,0.2755347,1.962565
60,0.2755347,1.969048
60,0.276956,1.9684
60,0.276956,1.968832
60,0.276956,1.97834
60,0.276956,1.980933
60,0.276956,1.977475
60,0.276956,1.982013
60,0.279084,1.994331
60,0.279084,1.989793
60,0.279084,1.993466
60,0.279084,1.986335
60,0.281313,1.982878
60,0.281313,1.991954
60,0.281313,2.006216
60,0.2832469,2.004055
60,0.2832469,2.000381
60,0.2832469,2.003623
60,0.2832469,2.011186
60,0.2832469,2.005568
60,0.2846372,2.011618
60,0.2846372,2.012915
60,0.2846372,2.004703
60,0.2846372,2.022855
60,0.2846372,2.024152
60,0.2858021,2.027825
60,0.2858021,2.014643
60,0.2870525,2.022855
60,0.2870525,2.030851
60,0.2870525,2.032363
60,0.2870525,2.035388
60,0.2870525,2.0436
60,0.2870525,2.043816
60,0.2870525,2.041007
60,0.2880932,2.047706
60,0.2880932,2.047922
60,0.2880932,2.050731
60,0.2880932,2.048786
60,0.2893048,2.040359
60,0.2893048,2.045761
60,0.2909824,2.050947
60,0.2909824,2.058511
60,0.2909824,2.063481
60,0.2909824,2.055269
60,0.2909824,2.057214
60,0.2909824,2.065426
60,0.2926289,2.071692
60,0.2926289,2.070396
60,0.2926289,2.06132
